
1,0,84.733284
1,1,79.902969
1,2,81.842307
1,3,80.395264
1,4,81.192092
1,5,83.908866
1,6,84.067863
1,7,78.850884
1,8,81.578105
1,9,77.449296
1,10,71.031500
1,11,84.217830
1,12,73.271500
1,13,82.663098
1,14,81.849763
1,15,79.960606
1,16,77.229328
2,0,67.104397
2,1,67.185859
2,2,102.695558
2,3,150.438507
2,4,148.477497
2,5,154.368374
2,6,155.848045
2,7,129.551759
2,8,147.892275
2,9,124.861344
2,10,106.266054
2,11,150.467109
2,12,135.044474
2,13,155.437190
2,14,153.533517
2,15,144.078529
2,16,141.984798
4,0,72.746388
4,1,70.983938
4,2,86.155500
4,3,92.306053
4,4,90.816477
4,5,94.714191
4,6,96.179882
4,7,93.766488
4,8,89.634049
4,9,95.669219
4,10,107.618512
4,11,89.647140
4,12,94.442464
4,13,170.767084
4,14,150.381473
4,15,199.393636
4,16,159.973064
